"gender","type","year","y","wr"
"men","200m breaststroke LCM",2020,1.57666535277887,1.5938795027096
"men","200m breaststroke LCM",2021,1.58378207158695,1.5938795027096
"men","200m breaststroke LCM",2022,1.58793171893609,1.5938795027096
"men","200m breaststroke LCM",2023,1.5938795027096,1.5938795027096
"men","200m breaststroke LCM",2024,1.58919348430671,1.5938795027096
"men","200m breaststroke SCM",2000,1.58227848101266,1.66444740346205
"men","200m breaststroke SCM",2001,1.56752096559291,1.66444740346205
"men","200m breaststroke SCM",2002,1.62377202240805,1.66444740346205
"men","200m breaststroke SCM",2003,1.58328055731476,1.66444740346205
"men","200m breaststroke SCM",2004,1.62707452001302,1.66444740346205
"men","200m breaststroke SCM",2005,1.61251310166895,1.66444740346205
"men","200m breaststroke SCM",2006,1.58002844051193,1.66444740346205
"men","200m breaststroke SCM",2007,1.59375249023827,1.66444740346205
"men","200m breaststroke SCM",2008,1.60526527008588,1.66444740346205
"men","200m breaststroke SCM",2009,1.65741277865252,1.66444740346205
"men","200m breaststroke SCM",2010,1.62443144899285,1.66444740346205
"men","200m breaststroke SCM",2011,1.6343875132794,1.66444740346205
"men","200m breaststroke SCM",2012,1.64812525751957,1.66444740346205
"men","200m breaststroke SCM",2013,1.65672630881378,1.66444740346205
"men","200m breaststroke SCM",2014,1.66002656042497,1.66444740346205
"men","200m breaststroke SCM",2015,1.65933792416826,1.66444740346205
"men","200m breaststroke SCM",2016,1.66057788110262,1.66444740346205
"men","200m breaststroke SCM",2017,1.65139129716786,1.66444740346205
"men","200m breaststroke SCM",2018,1.66444740346205,1.66444740346205
"men","200m breaststroke SCM",2019,1.64230579733946,1.66444740346205
